Pop: Pop/Rock;357924
Hip-Hop/Rap: Hip Hop;314345
Rock: Adult Alternative Pop/Rock;307545
Spiritual: Contemporary Christian;204196
Rock: Hard Rock;164454
Hip-Hop/Rap: Rap;163590
Folk: Singer/Songwriter;162790
Hip-Hop/Rap: Alternative Hip Hop;159293
Pop: Pop;146436
Country: Americana;140306
Folk: Alternative Folk;131960
Spiritual: Inspirational;130038
Rock: Americana;129057
Spiritual: Praise & Worship;128561
Rock: Acoustic;128193
Rock: Modern Rock;126453
Rock: Progressive Rock;123411
Folk: Folk-Rock;123329
R&B/Soul: R&B Rap mix;120811
Electronic: Ambient;118168
Spiritual: Contemporary Gospel;106686
Rock: Punk;100099
Hip-Hop/Rap: Underground Rap;98491
Electronic: Dance;96501
Pop: Folky Pop;95116
Rock: Folk Rock;93856
Folk: Folk Pop;93063
Hip-Hop/Rap: Instrumental Hip-Hop;88028
Rock: Rock & Roll;87392
Blues: Blues-Rock;85243
Electronic: Experimental;83296
Rock: Instrumental Rock;83214
Urban/R&B: R&B Rap mix;82238
Easy Listening: Background Music;82063
Easy Listening: Adult contemporary;82033
Easy Listening: Mood Music;79551
Classical: Contemporary;79506
Rock: Classic Rock;79034
Rock: Album Rock;78995
Rock: Psychedelic;78677
Hip-Hop/Rap: Gangsta Rap;76801
Electronic: Electronica;72553
Jazz: Contemporary Jazz;70221
Folk: Modern Folk;69547
Hip-Hop/Rap: Hardcore Rap;69446
R&B/Soul: Urban;68349
Rock: Experimental Rock;66924
World: World Fusion;66189
Rock: Garage Rock;65875
R&B/Soul: R&B Pop Crossover;65641
Country: Alt-Country;65382
Metal/Punk: Heavy Metal;63522
Kids/Family: General Children's Music;63510
Jazz: Smooth Jazz;62899
Country: Country Rock;62595
Rock: Punk-Pop;62214
Rock: Adult Contemporary;61365
Latin: Latin Pop;60906
Electronic: Chill out;60112
Hip-Hop/Rap: Dirty South;59990
Rock: 90's Rock;59671
Hip-Hop/Rap: Pop-Rap;57804
Classical: Piano solo;56165
New Age: Ambient;56098
Classical: Film Music;55273
Electronic: Synthpop;54474
Hip-Hop/Rap: West Coast Rap;54424
Pop: Today's Top 40;53803
Folk: Traditional Folk;52216
Pop: with Electronic Production;51690
Pop: Power Pop;51151
Rock: 70's Rock;50637
Jazz: Jazz Fusion;50203
Rock: Post-Rock/Experimental;50117
Urban/R&B: Urban;49847
New Age: Contemporary Instrumental;48771
Easy Listening: Love Songs;48276
Pop: Pop Underground;48274
Avant Garde: Experimental;47705
R&B/Soul: Soul;47526
Hip-Hop/Rap: East Coast;47432
Metal/Punk: Death Metal;47420
Kids/Family: Educational;47020
Solo Male Artist;46384
Christian;45913
Hip-Hop/Rap: Street Rap;45871
Metal/Punk: Alternative Metal;45548
New Age: Relaxation;45410
Hip-Hop/Rap: Spiritual Rap;44975
Pop: Dream Pop;44775
New Age: Meditation;43923
Country: Country Folk;43639
Jazz: Jazz Vocals;43155
Pop: Piano;42838
Metal/Punk: Progressive Metal;42729
Urban/R&B: R&B Pop Crossover;41910
Rock: Funk Rock;41328
Mood: Party Music;41227
Easy Listening: Instrumental Pop;40956
Rock: 80's Rock;40514
Rock: Grunge;40374
Country: Country Pop;39772
Spiritual: Christian Rock;39666
Easy Listening: Ballads;39434
Rock: Rock en Español;38861
Reggae: Roots Reggae;38521
Rock: Soft Rock;37877
R&B/Soul: Neo-Soul;37743
Country: Bluegrass;37491
R&B/Soul: Contemporary R&B/Soul;37148
Hip-Hop/Rap: Party Rap;36507
Pop: Beatles-pop;36397
Kids/Family: Sing-Along/Interactive;36177
Rock: Roots Rock;36133
Hip-Hop/Rap: Southern Style;35972
Rock: Lo-Fi;35622
Reggae: Dancehall;35590
Pop: Synth Pop;35428
Kids/Family: Kid Friendly;35262
New Age: Solo Instrumental;35215
Rock: American Underground;34692
Pop: Quirky;34667
Country: Traditional Country;34544
Hip-Hop/Rap: Latin Rap;34362
Spiritual: Hymns;34324
Urban/R&B: Soul;34245
R&B/Soul: Funk;34028
World: Celtic;33717
Electronic: Industrial;33103
Electronic: Electro;32961
Pop: Party Pop;32282
Kids/Family: Children's Pop;32234
Spiritual: Christian Rap;31935
Rock: College Rock;31671
Metal/Punk: Hardcore Punk;31062
Classical: Chamber Music;30955
Pop: 80's Pop;30772
Reggae: Pop-Reggae;30693
Blues: Acoustic Blues;30564
Electronic: Soundscapes;30524
Metal/Punk: Thrash/Speed Metal;30392
Electronic: House;30288
Folk: Celtic Folk;30102
New Age: New Age;30059
Folk: Folk Blues;29865
Pop: Ambient Pop;29853
Spiritual: Traditional Gospel;29645
Pop: New Wave;29455
World: World Traditions;29335
Rock: Country-Rock;29331
Instrumental;28898
Hip-Hop/Rap: Beat Tape;28431
Easy Listening: Soft Rock;28279
Electronic: Down Tempo;27996
Brazilian: MPB;27965
Latin: Cumbia;27434
Jazz: Jazz-Funk;27425
Mood: Fun;26930
Jazz: Modern Creative Jazz;26897
Country: Modern Country;26792
Pop: 90's Pop;26771
Rock: Emo;26686
Country: Contemporary Country;26642
Latin: Latin Folk;26623
Electronic: Techno;26489
Easy Listening: Easy Pop;26182
Pop: British Pop;26144
Reggae: Reggae rock;26095
Metal/Punk: Metalcore;25604
Jazz: Piano Jazz;25425
Electronic: Pop Crossover;25354
R&B/Soul: Rhythm & Blues;25295
New Age: Neo-Classical;25071
Jazz: World Fusion;24854
Spoken Word: With Music;24769
Pop: Psychedelic Pop;24713
Latin: Latin Rap;24455
World: South American;24393
Folk: Fingerstyle;24224
Latin: Norteño;24217
New Age: Healing;24023
Latin: General;24015
Hip-Hop/Rap: Reggaeton;24011
Spiritual: Spirituals;23693
Metal/Punk: Post-Punk;23622
Metal/Punk: American Punk;23568
World: Caribbean;23550
Jazz: Jazz-Pop;23306
Spoken Word: Poetry;23239
Rock: Southern Rock;23220
Rock: Jam-band;22640
Easy Listening: Orchestral;22451
Urban/R&B: Neo-Soul;22206
Electronic: Trip Hop;22186
Electronic: Alternative Dance;22182
Rock: Shoegaze;22165
Pop: with Live-band Production;22038
Jazz: Jazz-Rock;21976
Mood: Upbeat;21930
Rock: 60's Rock;21880
Easy Listening: Lounge;21815
Metal/Punk: Black Metal;21266
World: African;21097
Spiritual: Country Gospel;20991
Type: Vocal;20960
Pop: New Romantic;20904
Pop: California Pop;20895
Classical: Orchestral;20637
Urban/R&B: Funk;20627
Kids/Family: Lullabies;20537
World: Afro-Beat;20520
Avant Garde: Modern Composition;20493
Rock: Goth;20442
World: World Beat;20432
R&B/Soul: Smooth Soul;20159
Jazz: Cool Jazz;19894
R&B/Soul: Traditional R&B;19809
Country: Country Gospel;19573
Rock: Surf Rock;19459
Jazz: Crossover Jazz;19346
Country: Outlaw Country;19183
World: Folklore;19137
Electronic: Virtual Orchestra;19107
Jazz: Soul-Jazz;19001
Pop: 70's Pop;18978
Mood: Dreamy;18802
Avant Garde: Electro-Acoustic;18760
Jazz: Latin Jazz;18758
Reggae: Smooth Reggae;18742
Metal/Punk: Garage Punk;18701
Rock: Comedy Rock;18630
Hip-Hop/Rap: Old-School Rap;18392
Latin: Salsa;18270
Classical: Baroque;18190
Rock: Latin Rock;18112
Rock: Space Rock;18080
Spoken Word: Comedy;18076
Avant Garde: Free Improvisation;18043
Latin: Corrido;17764
Featuring Guitar;17739
Blues: Electric Blues;17686
World: Native American;17425
Avant Garde: Psychedelia;17357
Folk: Progressive Folk;17051
Metal/Punk: Doom/Stoner Metal;17015
Rock: Rockabilly;16947
Blues: Jazzy Blues;16902
Electronic: Dubstep;16882
Holiday: Easy Listening;16815
Spiritual: Mantras;16732
Blues: Rockin' Blues;16614
Blues: Guitar Blues;16551
Electronic: Electro House;16529
Urban/R&B: Contemporary urban;16528
Spiritual: Southern Gospel;16498
Folk: Gentle;16435
Avant Garde: Electronic Avant-Garde;16421
Urban/R&B: Rhythm & Blues;16395
Folk: Folk-Jazz;16394
Electronic: Trance;16278
Metal/Punk: Post-Hardcore;16215
Spoken Word: Audiobook;16154
Hip-Hop/Rap: Political Rap;16091
Country: Country Blues;15919
Spiritual: Instrumental Gospel;15862
Electronic: Deep House;15821
Electronic: IDM;15788
Hip-Hop/Rap: Jazz-Rap;15719
Pop: 60's Pop;15668
New Age: Spiritual;15662
Jazz: Mainstream Jazz;15489
Latin: Banda;15461
Pop: Garage Pop;15351
Folk: Appalachian Folk;15223
Metal/Punk: Power Metal;15148
Rock: Arena Rock;15044
Avant Garde: Sound Art;15030
Spoken Word: Inspirational;14968
Easy Listening: American Popular Song;14959
Reggae: Dub;14814
Holiday: Spiritual;14767
Classical: Bach;14646
Blues: Blues Vocals;14552
Latin: Ranchera;14441
Rock: Industrial Rock;14349
Classical: Traditional;14333
Metal/Punk: Instrumental Metal;14295
Hip-Hop/Rap: G-Funk;14283
Easy Listening: Nostalgia;14278
Solo Female Artist;14138
Latin: Latin Jazz;14136
Country: Honky Tonk;14085
Classical: Romantic Era;14039
Reggae: Ska;14007
Rock: Retro-Rock;13912
Blues: Funky Blues;13816
Blues: Folk-Blues;13779
Holiday: Pop;13660
Spiritual;13573
Type: Lyrical;13517